TIPO,NOMBRE,RELACION,TIPO,ENTIDAD,PORCENTAJE
Dueño,"Alberto Ciro Gollán","Participa en",Empresa,"Grupo Televisión Litoral S.A.",19.84%
Dueño,"Alberto Fontevecchia","Participa en",Empresa,"Editorial Perfil SA",50%
Dueño,"Alberto Fontevecchia","Participa en",Empresa,"Perfil Periódicos SA",50%
Dueño,"Alberto Fontevecchia","Participa en",Empresa,"Perfil TV SA",50%
Dueño,"Alberto García Hamilton","Participa en",Empresa,"LA GACETA S.A.",100%
Dueño,"Alberto Pierri","Participa en",Empresa,"Diario Digital SA",50%
Dueño,"Alberto Pierri","Participa en",Empresa,"Eventos Producciones SA",50%
Dueño,"Alberto Pierri","Participa en",Empresa,"Facilcred SA",50%
Dueño,"Alberto Pierri","Participa en",Empresa,"Full Express SRL",50%
Dueño,"Alberto Pierri","Participa en",Empresa,"NRG SA",50%
Dueño,"Alberto Pierri","Participa en",Empresa,"Papelera Tucumán SA",50%
Dueño,"Alberto Pierri","Participa en",Empresa,"TeleCentro SA",50%
Dueño,"Alberto Pierri","Participa en",Empresa,"Unionpel SA",50%
Dueño,"Alfredo L. Vila Santander","Participa en",Empresa,"Uno Multimedios SA",46%
Dueño,"Ana Cecilia Gollán","Participa en",Empresa,"Grupo Televisión Litoral S.A.",19.84%
Dueño,"Angel Cardoso","Participa en",Empresa,"Grupo Televisión Litoral S.A.",3.24%
Dueño,"Antonio Mata","Participa en",Empresa,"Papel 2.0 SA",60%
Dueño,"Antranik Eurnekian","Participa en",Empresa,"América TV SA",15.3%
Dueño,"Antranik Eurnekian","Participa en",Empresa,"Junín TV SA",15%
Dueño,"Avelino Méndez","Participa en",Empresa,"Grupo Televisión Litoral S.A.",15.22%
Dueño,BBC,"Participa en",Empresa,"GP Producciones SA",35%
Dueño,"Beatriz María Gollán de Méndez","Participa en",Empresa,"Grupo Televisión Litoral S.A.",19.84%
Dueño,"Belisario Moneta","Participa en",Holding,"Corporación Infomedia SA",25%
Dueño,"Booth American Company Investment LLC","Participa en",Holding,"Grupo Clarín S.A.",9%
Dueño,"Carlos A. Aguinaco","Participa en",Empresa,"San Luis CTV SA",33.33%
Dueño,"Carlos Ernesto Daumas","Participa en",Empresa,"Grupo Televisión Litoral S.A.",12.88%
Dueño,"Claudio Belocopitt","Participa en",Empresa,"Radiodifusora Del Plata SA",5%
Dueño,"Claudio Belocopitt","Participa en",Holding,"Zarova SA",50%
Dueño,"Claudio Katester","Participa en",Empresa,"Grupo Televisión Litoral S.A.",2.7%
Dueño,Coronna,"Participa en",Empresa,"Santa Cruz SRL",87.5%
Dueño,Cortinker,"Participa en",Empresa,"Nihuil SA",99%
Dueño,"Daniel Eduardo Vila","Participa en",Empresa,"El Solaz SRL",50%
Dueño,"Daniel Eduardo Vila","Participa en",Holding,"Nuevo Vehículo Aire 1 SA",50%
Dueño,"Daniel Eduardo Vila","Participa en",Empresa,"Nuevo Vehículo Aire 2  G Uno SA",50%
Dueño,"Daniel Eduardo Vila","Participa en",Empresa,"Uno Multimedios SA",46%
Dueño,"Daniel Eduardo Vila","Participa en",Holding,"Zarova SA",25%
Dueño,"Daniel Kraiselburd","Participa en",Empresa,"El Dia SAICyF",100%
Dueño,"Daniel Kraiselburd","Participa en",Empresa,"FM Diez La 99.1 SA",100%
Dueño,"Daniel Kraiselburd","Participa en",Empresa,"FM La Redonda SA - El Dia SA",100%
Dueño,"Daniel Kraiselburd","Participa en",Empresa,PubliexitoSA,100%
Dueño,"Desireé Katester","Participa en",Empresa,"Grupo Televisión Litoral S.A.",2.7%
Dueño,"Diego Mazzagalli","Participa en",Holding,"DMRT SA -Ex Grupo Uno SA-",50%
Dueño,"Eduardo Lerner","Participa en",Empresa,"IPESA SA",100%
Dueño,"Estado Nacional","Participa en",Holding,"SFMCP - Sistema Federal de Medios y Contenidos Publicos",100%
Dueño,"Fabián DeSouza","Participa en",Holding,"SMI South Media Investments SA",96%
Dueño,"Faustino Moneta","Participa en",Holding,"Corporación Infomedia SA",25%
Dueño,"Fernando Isidoro Pérez Paz","Participa en",Empresa,"Radio Vision Jujuy S.A.",100%
Dueño,"Florencio Aldrey Iglesias","Participa en",Empresa,"Editorial La Capital SA",90%
Dueño,"Francisco De Narváez","Participa en",Holding,GDN,100%
Dueño,"Francisco Fascetto","Participa en",Empresa,"Man Press SA",50%
Dueño,"Fred Vierra","Participa en",Empresa,"Torneos y Competencias SA",26.53%
Dueño,"Gabriel Bandiera","Participa en",Empresa,"Bedea SA",50%
Dueño,"Gabriel Conte","Participa en",Empresa,"Territorio Digital S.A.",100%
Dueño,"Gastón Portal","Participa en",Empresa,"GP Producciones SA",25%
Dueño,"Gobierno de la Ciudad de Buenos Aires","Participa en",Holding,"Sistema Integrado de Medios Públicos de la Ciudad Autónoma de Buenos Aires",100%
Dueño,"Graciela Gallas de Alvarez","Participa en",Empresa,"Cable Televisora Color SA",70%
Dueño,"Guillermo G. Bordallo","Participa en",Empresa,"San Luis CTV SA",33.33%
Dueño,"Guillermo Ignacio","Participa en",Holding,"Diarios Bonaerenses S.A.",100%
Dueño,"Gustavo De Filippi","Participa en",Empresa,"Radiodifusora del Centro SA",68%
Dueño,"Gustavo Eduardo Ick","Participa en",Holding,"Grupo ICK en Sociedad con Gobierno de Santiago del Estero",50%
Dueño,"Gustavo Eduardo Ick","Participa en",Holding,"Grupo ICK S.A.",50%
Dueño,"Gustavo Eduardo Ick","Participa en",Empresa,"Radiodifusora NOA SRL",60%
Dueño,"Gustavo Scaglione","Participa en",Empresa,"Grupo Televisión Litoral S.A.",27.5%
Dueño,"Hernan Simó","Participa en",Empresa,"Sociedad de Editores ABC1 S.R.L.",100%
Dueño,"Ignacio Fidanza","Participa en",Empresa,"La Política Online S.A.",100%
Dueño,"Jorge A. Fontevecchia","Participa en",Empresa,"Caras TV",100%
Dueño,"Jorge A. Fontevecchia","Participa en",Empresa,"Diaro Perfil SA",50%
Dueño,"Jorge A. Fontevecchia","Participa en",Empresa,"Editorial Perfil SA",50%
Dueño,"Jorge A. Fontevecchia","Participa en",Empresa,"Perfil Entretenimientos SA",50%
Dueño,"Jorge A. Fontevecchia","Participa en",Holding,"Perfil Network SA",100%
Dueño,"Jorge A. Fontevecchia","Participa en",Empresa,"Perfil Periódicos SA",50%
Dueño,"Jorge A. Fontevecchia","Participa en",Empresa,"Perfil Radiodifusiones SA",95%
Dueño,"Jorge A. Fontevecchia","Participa en",Empresa,"Perfil TV SA",50%
Dueño,"Jorge Eduardo Aldrey","Participa en",Empresa,"Editorial La Capital SA",5%
Dueño,"Jorge Fascetto","Participa en",Empresa,"Man Press SA",50%
Dueño,"Jorge Pablo Brito","Participa en",Empresa,"Radio Libertad SA",80%
Dueño,"Jorge Prim","Participa en",Empresa,"Editorial La Página SA",40%
Dueño,"Jorge Pucinelli","Participa en",Empresa,"Deportes y Espectáculos SA",50%
Dueño,"José Gregorio Vargas","Participa en",Empresa,"Radiodifusora del Centro SA",16%
Dueño,"Jose Luis Manzano","Participa en",Empresa,"El Solaz SRL",50%
Dueño,"Jose Luis Manzano","Participa en",Holding,"Nuevo Vehículo Aire 1 SA",50%
Dueño,"Jose Luis Manzano","Participa en",Empresa,"Nuevo Vehículo Aire 2  G Uno SA",50%
Dueño,"Jose Luis Manzano","Participa en",Holding,"Zarova SA",25%
Dueño,"Josefina Daminato","Participa en",Empresa,"Grupo Televisión Litoral S.A.",27.5%
Dueño,"Juan Carlos Aldrey","Participa en",Empresa,"Casino Golden SA",50%
Dueño,"Juan Carlos Aldrey","Participa en",Empresa,"Deportes y Espectáculos SA",50%
Dueño,"Juan Carlos Aldrey","Participa en",Empresa,"Editorial La Capital SA",5%
Dueño,"Juan Carlos Aldrey","Participa en",Holding,"Emprendimientos Terminal SA",50%
Dueño,"Juan Carlos Aldrey","Participa en",Empresa,"Hermitage SA",100%
Dueño,"Juana Morano","Participa en",Medio,"Eco de los Cocos",100%
Dueño,"Juana Morano","Participa en",Medio,"Eco del Ancasti",100%
Dueño,"Juana Morano","Participa en",Medio,"Eco Onda Marina",100%
Dueño,"Juana Morano","Participa en",Medio,"Eco Rawson",100%
Dueño,"Juana Morano","Participa en",Medio,"Eco San luis",100%
Dueño,"Juana Morano","Participa en",Medio,"Eco Santa Rosa",100%
Dueño,"Juana Morano","Participa en",Medio,"Eco Villa Carlos Paz",100%
Dueño,"Juana Morano de Marvaso","Participa en",Empresa,"Cadena de Radio Eco S.A",90%
Dueño,"Juana Morano de Marvaso","Participa en",Medio,"Eco de los Cocos",100%
Dueño,"Juana Morano de Marvaso","Participa en",Medio,"Eco del Ancasti",100%
Dueño,"Juana Morano de Marvaso","Participa en",Medio,"Eco Onda Marina",100%
Dueño,"Juana Morano de Marvaso","Participa en",Medio,"Eco Rawson",100%
Dueño,"Juana Morano de Marvaso","Participa en",Medio,"Eco San luis",100%
Dueño,"Juana Morano de Marvaso","Participa en",Medio,"Eco Santa Rosa",100%
Dueño,"Juana Morano de Marvaso","Participa en",Medio,"Eco Villa Carlos Paz",100%
Dueño,Kuarzo,"Participa en",Empresa,"Underground Producciones SA",30%
Dueño,"Lauro Laiño","Participa en",Empresa,"La Prensa SA",89.22%
Dueño,"Luis Nofal","Participa en",Empresa,"Torneos y Competencias SA",26.53%
Dueño,"Manuel Pablo Marvaso","Participa en",Empresa,"Cadena de Radio Eco S.A",5%
Dueño,"Manuel Pablo Marvaso","Participa en",Medio,"Eco 9 de Julio",100%
Dueño,"Manuel Pablo Marvaso","Participa en",Medio,"Eco Bolívar",100%
Dueño,"Manuel Pablo Marvaso","Participa en",Medio,"Eco Chacabuco",100%
Dueño,"Manuel Pablo Marvaso","Participa en",Medio,"Eco de la Costa",100%
Dueño,"Manuel Pablo Marvaso","Participa en",Medio,"Eco Jujuy",100%
Dueño,"Manuel Pablo Marvaso","Participa en",Medio,"Eco Mar del Plata",100%
Dueño,"Manuel Pablo Marvaso","Participa en",Medio,"Eco Necochea",100%
Dueño,"Manuel Pablo Marvaso","Participa en",Medio,"Eco Pinamar",100%
Dueño,"Manuel Pablo Marvaso","Participa en",Medio,"Eco Tandil",100%
Dueño,"Marcela Andrea Biazzi","Participa en",Empresa,"RADIODIFUSORA INDEPENDENCIA SRL.",6.67%
Dueño,"Marcelo Bandiera","Participa en",Empresa,"Bedea SA",50%
Dueño,"Marcelo Fígoli","Participa en",Empresa,"Fénix Entertainment Group SA",100%
Dueño,"Marcelo Pasetti","Participa en",Empresa,"La Prensa SA",10.78%
Dueño,"Mario Pereyra","Participa en",Empresa,"Radiodifusora del Centro SA",16%
Dueño,"Nelva López de Fontevecchia","Participa en",Empresa,"Diaro Perfil SA",50%
Dueño,"Nelva López de Fontevecchia","Participa en",Empresa,"Perfil Entretenimientos SA",50%
Dueño,"Nelva López de Fontevecchia","Participa en",Empresa,"Perfil Radiodifusiones SA",5%
Dueño,"Néstor Carlos Ick","Participa en",Empresa,"CASTV SA",86%
Dueño,"Néstor Carlos Ick","Participa en",Holding,"Grupo ICK en Sociedad con Gobierno de Santiago del Estero",50%
Dueño,"Néstor Carlos Ick","Participa en",Holding,"Grupo ICK S.A.",50%
Dueño,"Néstor Otero","Participa en",Empresa,"Casino Golden SA",50%
Dueño,"Néstor Otero","Participa en",Holding,"Emprendimientos Terminal SA",50%
Dueño,"Omar Alvarez","Participa en",Empresa,"Cable Televisora Color SA",15%
Dueño,"Oscar Felipe Marvaso (h)","Participa en",Empresa,"Cadena de Radio Eco S.A",5%
Dueño,"Oscar Felipe Marvaso (h)","Participa en",Medio,"Cadena Eco Porteña",100%
Dueño,"Oscar Felipe Marvaso (h)","Participa en",Medio,"Eco Bahia Blanca",100%
Dueño,"Oscar Felipe Marvaso (h)","Participa en",Medio,"Eco Bariloche",100%
Dueño,"Oscar Felipe Marvaso (h)","Participa en",Medio,"Eco Buenos Aires",100%
Dueño,"Oscar Felipe Marvaso (h)","Participa en",Medio,"Eco Calafate",100%
Dueño,"Oscar Felipe Marvaso (h)","Participa en",Medio,"Eco Cdoro. Rivadavia",100%
Dueño,"Oscar Felipe Marvaso (h)","Participa en",Medio,"Eco de la Cordillera",100%
Dueño,"Oscar Felipe Marvaso (h)","Participa en",Medio,"Eco de las Sierras",100%
Dueño,"Oscar Felipe Marvaso (h)","Participa en",Medio,"Eco Del Rosario",100%
Dueño,"Oscar Felipe Marvaso (h)","Participa en",Medio,"Eco Fin del Mundo",100%
Dueño,"Oscar Felipe Marvaso (h)","Participa en",Medio,"Eco La Rioja",100%
Dueño,"Oscar Felipe Marvaso (h)","Participa en",Medio,"Eco Madryn",100%
Dueño,"Oscar Felipe Marvaso (h)","Participa en",Medio,"Eco Olavarria",100%
Dueño,"Oscar Felipe Marvaso (h)","Participa en",Medio,"Eco Patagones",100%
Dueño,"Oscar Felipe Marvaso (h)","Participa en",Medio,"Eco Porteña FM",100%
Dueño,"Oscar Felipe Marvaso (h)","Participa en",Medio,"Eco Rio Cuarto",100%
Dueño,"Oscar Felipe Marvaso (h)","Participa en",Medio,"Eco Rio Gallegos",100%
Dueño,"Oscar Felipe Marvaso (h)","Participa en",Medio,"Eco San Nicolás",100%
Dueño,"Oscar Felipe Marvaso (h)","Participa en",Medio,"Eco Santiago Del Estero",100%
Dueño,"Oscar Felipe Marvaso (h)","Participa en",Medio,"Eco SMA",100%
Dueño,"Oscar Felipe Marvaso (h)","Participa en",Medio,"Eco Termas",100%
Dueño,"Oscar Felipe Marvaso (h)","Participa en",Medio,"Eco VLA",100%
Dueño,"Pablo Rafael Castiglione","Participa en",Empresa,"Radiodifusora NOA SRL",40%
Dueño,"Rafael Isaac Marciani","Participa en",Empresa,"Radio Vision Jujuy S.A.",100%
Dueño,"Rafael Tapia","Participa en",Holding,"DMRT SA -Ex Grupo Uno SA-",50%
Dueño,"Raúl Cruz Moneta","Participa en",Holding,"Corporación Infomedia SA",25%
Dueño,Rocha,"Participa en",Empresa,"Señal Mendoza SA",97%
Dueño,"Rodrigo Octavio Videla","Participa en",Empresa,"FM Aeropuerto SRL",95%
Dueño,"Rosa Josefina Durgam de Biagoli","Participa en",Empresa,"CASTV SA",14%
Dueño,"Rufino Moneta","Participa en",Holding,"Corporación Infomedia SA",25%
Dueño,"Sebastián Ortega","Participa en",Empresa,"Underground Producciones SA",40%
Dueño,"Silvina Pierri","Participa en",Empresa,"Diario Digital SA",50%
Dueño,"Silvina Pierri","Participa en",Empresa,"Eventos Producciones SA",50%
Dueño,"Silvina Pierri","Participa en",Empresa,"Facilcred SA",50%
Dueño,"Silvina Pierri","Participa en",Empresa,"Full Express SRL",50%
Dueño,"Silvina Pierri","Participa en",Empresa,"NRG SA",50%
Dueño,"Silvina Pierri","Participa en",Empresa,"Papelera Tucumán SA",50%
Dueño,"Silvina Pierri","Participa en",Empresa,"TeleCentro SA",50%
Dueño,"Silvina Pierri","Participa en",Empresa,"Unionpel SA",50%
Dueño,"SUTERH &#8211; Sindicato Unico de Trabajadores de Edificios de Renta y Horizontal","Participa en",Holding,"Grupo Octubre - Fundación Octubre Trabajadores de Edificios",95%
Dueño,"SUTERH &#8211; Sindicato Unico de Trabajadores de Edificios de Renta y Horizontal","Participa en",Empresa,"Instituto Superior Octubre",95%
Dueño,Tribul,"Participa en",Empresa,"CVI Austral LLP",28.52%
Dueño,"Universidad Nacional de Córdoba","Participa en",Medio,Cba24N.com.ar,100%
Dueño,"Universidad Nacional de Córdoba","Participa en",Medio,"Nuestra Radio [FM 102.3]",100%
Dueño,"Universidad Nacional del Litoral","Participa en",Medio,"FM La X 103.5",100%
Dueño,"Universidad Nacional del Litoral","Participa en",Medio,"LT10 AM 1020",100%
Dueño,"Universidad Nacional del Litoral","Participa en",Medio,lt10.com.ar,100%
Dueño,"Víctor Santa María","Participa en",Empresa,"Consultora Dircom SA",5%
Dueño,"Víctor Santa María","Participa en",Empresa,"Fundación Octubre Trabajadores de Edificios",5%
Dueño,"Víctor Santa María","Participa en",Holding,"Grupo Octubre - Fundación Octubre Trabajadores de Edificios",5%
Dueño,"Víctor Santa María","Participa en",Empresa,"Instituto Superior Octubre",5%
Dueño,"Víctor Santa María","Participa en",Empresa,"Universidad Metropolitana para la Educación y  el Trabajo",5%
Dueño,"Viviana Zocco","Participa en",Empresa,"Vi-Da Producciones SA",50%
Dueño,"Viviana Zocco","Participa en",Holding,"Grupo Infobae SA",50%
Dueño,"Viviana Zocco","Participa en",Empresa,"Emprendimientos Corporativos SA",50%
Dueño,"Waldo Camilo López","Participa en",Empresa,"RADIODIFUSORA INDEPENDENCIA SRL.",93.33%
Dueño,"Karina Giorgenello","Participa en",Medio,"ABC Mundial",100%
Dueño,"Nicolás Resco","Participa en",Medio,"Tiempo Judicial",100%
Dueño,"Aimale Maria Ines","Participa en",Medio,CuyoNoticias,100%
Dueño,"Gustavo Javier Chavarini","Participa en",Medio,"Radio Turismo",100%
Dueño,"Universidad Nacional Tecnológica Regional Mendoza","Participa en",Medio,"FM UTN 94.5",100%
Dueño,"Daniel Etchadoy","Participa en",Medio,"Cañuelas Noticias",100%
Dueño,"Amilcar R. Beron","Participa en",Medio,"Portal Misiones",100%
Dueño,"Raúl Rolando Romero Feris","Participa en",Empresa,"Editorial Chaco S.A.",100%
Empresa,"Aconcagua SA","Participa en",Empresa,"Alta Densidad SRL",100%
Empresa,"Aconcagua SA","Participa en",Empresa,"BAE Negocios SA",100%
Empresa,"Aconcagua SA","Participa en",Empresa,"Editorial Sarmiento SA",100%
Empresa,"Aconcagua SA","Participa en",Medio,"Grupo Crónica",100%
Empresa,"Aconcagua SA","Pertenece a",Holding,"Grupo Olmos Holding",100%
Empresa,"Administradora Ring SRL","Participa en",Medio,RING,100%
Empresa,"Administradora Ring SRL","Pertenece a",Holding,"Grupo Olmos Holding",100%
Empresa,"AGEA &#8211; Arte Gráfico Editorial Argentino S.A.","Participa en",Medio,Argenprop.com,100%
Empresa,"AGEA &#8211; Arte Gráfico Editorial Argentino S.A.","Participa en",Medio,ARQ,100%
Empresa,"AGEA &#8211; Arte Gráfico Editorial Argentino S.A.","Participa en",Empresa,"ARTEAR - Arte Radiotelevisivo Argentino SA",2.25%
Empresa,"AGEA &#8211; Arte Gráfico Editorial Argentino S.A.","Participa en",Empresa,"Artes Gráficas Rioplatenteses SA - AGR",99.1%
Empresa,"AGEA &#8211; Arte Gráfico Editorial Argentino S.A.","Participa en",Empresa,"Artes Gráficas Rioplatenteses SA - AGR",100%
Empresa,"AGEA &#8211; Arte Gráfico Editorial Argentino S.A.","Participa en",Medio,Biencasero.com,100%
Empresa,"AGEA &#8211; Arte Gráfico Editorial Argentino S.A.","Participa en",Medio,Buscainmueble.com,100%
Empresa,"AGEA &#8211; Arte Gráfico Editorial Argentino S.A.","Participa en",Medio,"Casas y Pisos",100%
Empresa,"AGEA &#8211; Arte Gráfico Editorial Argentino S.A.","Participa en",Empresa,"CIMECO - Compañia Inversora en Medios de Comunicación SA",66.68%
Empresa,"AGEA &#8211; Arte Gráfico Editorial Argentino S.A.","Participa en",Empresa,"CIMECO - Compañia Inversora en Medios de Comunicación SA",66.7%
Empresa,"AGEA &#8211; Arte Gráfico Editorial Argentino S.A.","Participa en",Medio,Clarín,100%
Empresa,"AGEA &#8211; Arte Gráfico Editorial Argentino S.A.","Participa en",Medio,"Clarín WEBTV",100%
Empresa,"AGEA &#8211; Arte Gráfico Editorial Argentino S.A.","Participa en",Medio,"Clarín Zonales",100%
Empresa,"AGEA &#8211; Arte Gráfico Editorial Argentino S.A.","Participa en",Medio,Clasificados.clarin.com,100%
Empresa,"AGEA &#8211; Arte Gráfico Editorial Argentino S.A.","Participa en",Empresa,"Comercializadora de Medios del Interior SA",21.1%
Empresa,"AGEA &#8211; Arte Gráfico Editorial Argentino S.A.","Participa en",Medio,Deautos.com,100%
Empresa,"AGEA &#8211; Arte Gráfico Editorial Argentino S.A.","Participa en",Medio,Demotos.com,100%
Empresa,"AGEA &#8211; Arte Gráfico Editorial Argentino S.A.","Participa en",Empresa,"Editorial La Razón SA",97%
Empresa,"AGEA &#8211; Arte Gráfico Editorial Argentino S.A.","Participa en",Medio,"Elle Argentina",100%
Empresa,"AGEA &#8211; Arte Gráfico Editorial Argentino S.A.","Participa en",Medio,"Elle Decoración",100%
Empresa,"AGEA &#8211; Arte Gráfico Editorial Argentino S.A.","Participa en",Medio,Empleos.Clarin.com,100%
Empresa,"AGEA &#8211; Arte Gráfico Editorial Argentino S.A.","Participa en",Medio,"Entre Mujeres",100%
Empresa,"AGEA &#8211; Arte Gráfico Editorial Argentino S.A.","Participa en",Empresa,"Estante SA",4%
Empresa,"AGEA &#8211; Arte Gráfico Editorial Argentino S.A.","Participa en",Empresa,"Ferias y Exposiciones Argentinas SA",96.8%
Empresa,"AGEA &#8211; Arte Gráfico Editorial Argentino S.A.","Participa en",Medio,Genios,100%
Empresa,"AGEA &#8211; Arte Gráfico Editorial Argentino S.A.","Participa en",Medio,"Gran DT",100%
Empresa,"AGEA &#8211; Arte Gráfico Editorial Argentino S.A.","Participa en",Empresa,"Gratuitos del Aire SA",50%
Empresa,"AGEA &#8211; Arte Gráfico Editorial Argentino S.A.","Participa en",Medio,"Guia de Padres Genios",100%
Empresa,"AGEA &#8211; Arte Gráfico Editorial Argentino S.A.","Participa en",Medio,"Jardín de Genios",100%
Empresa,"AGEA &#8211; Arte Gráfico Editorial Argentino S.A.","Participa en",Medio,Librocity,100%
Empresa,"AGEA &#8211; Arte Gráfico Editorial Argentino S.A.","Participa en",Medio,Muy,100%
Empresa,"AGEA &#8211; Arte Gráfico Editorial Argentino S.A.","Participa en",Medio,Olé,100%
Empresa,"AGEA &#8211; Arte Gráfico Editorial Argentino S.A.","Participa en",Empresa,"Oportunidades SA",100%
Empresa,"AGEA &#8211; Arte Gráfico Editorial Argentino S.A.","Participa en",Empresa,"Papel Prensa SA",36.9%
Empresa,"AGEA &#8211; Arte Gráfico Editorial Argentino S.A.","Participa en",Medio,"Revista Ñ",100%
Empresa,"AGEA &#8211; Arte Gráfico Editorial Argentino S.A.","Participa en",Medio,"Shop & CO",100%
Empresa,"AGEA &#8211; Arte Gráfico Editorial Argentino S.A.","Participa en",Medio,"Tiki Tiki",100%
Empresa,"AGEA &#8211; Arte Gráfico Editorial Argentino S.A.","Participa en",Empresa,"Tinta Fresca",95%
Empresa,"AGEA &#8211; Arte Gráfico Editorial Argentino S.A.","Participa en",Medio,"Todo Viajes",100%
Empresa,"AGEA &#8211; Arte Gráfico Editorial Argentino S.A.","Participa en",Empresa,"UNIR SA",93.41%
Empresa,"AGEA &#8211; Arte Gráfico Editorial Argentino S.A.","Participa en",Medio,"Vía País",21.1%
Empresa,"AGEA &#8211; Arte Gráfico Editorial Argentino S.A.","Participa en",Medio,Viva,100%
Empresa,"AGEA &#8211; Arte Gráfico Editorial Argentino S.A.","Pertenece a",Holding,"Grupo Clarín S.A.",100%
Empresa,"Ahora Mamá SA","Participa en",Medio,"Revista Ahora Mamá",50%
Empresa,"Alta Densidad SRL","Participa en",Empresa,"Alta Densidad SRL",100%
Empresa,"Alta Densidad SRL","Participa en",Empresa,"CM TV y Publicidad SA",50%
Empresa,"Alta Densidad SRL","Participa en",Empresa,"Marketing y Publicidad SRL",100%
Empresa,"Alta Densidad SRL","Participa en",Medio,"Radio FMQ",100%
Empresa,"Alta Densidad SRL","Participa en",Empresa,"Underground Producciones SA",30%
Empresa,"Alta Densidad SRL","Pertenece a",Empresa,"Aconcagua SA",100%
Empresa,"Alta Densidad SRL","Pertenece a",Empresa,"Alta Densidad SRL",100%
Empresa,"Alta Densidad SRL","Pertenece a",Holding,"Grupo Olmos Holding",100%
Empresa,"América Inversora SA","Participa en",Empresa,"América Medios SA",6%
Empresa,"América Inversora SA","Participa en",Empresa,"América TV SA",20%
Empresa,"América Inversora SA","Participa en",Empresa,"Junín TV SA",67.75%
Empresa,"América Inversora SA","Participa en",Empresa,"Red Celeste y Blanca SA",2%
Empresa,"América Inversora SA","Pertenece a",Empresa,"América Medios SA",92.83%
Empresa,"América Inversora SA","Pertenece a",Holding,"Zarova SA",6.18%
Empresa,"América Medios SA","Participa en",Empresa,"América Inversora SA",92.83%
Empresa,"América Medios SA","Participa en",Empresa,"América TV SA",64.7%
Empresa,"América Medios SA","Participa en",Empresa,"Junín TV SA",17.25%
Empresa,"América Medios SA","Participa en",Empresa,"Primicias Ya SRL",60%
Empresa,"América Medios SA","Participa en",Empresa,"Red Celeste y Blanca SA",98%
Empresa,"América Medios SA","Participa en",Empresa,"Uno Multimedios SA",60%
Empresa,"América Medios SA","Pertenece a",Empresa,"América Inversora SA",6%
Empresa,"América Medios SA","Pertenece a",Holding,"Zarova SA",78.52%
Empresa,"América TV SA","Participa en",Medio,A24,100%
Empresa,"América TV SA","Participa en",Medio,"América Interior",100%
Empresa,"América TV SA","Participa en",Medio,"América Internacional",100%
Empresa,"América TV SA","Participa en",Medio,"América TV",100%
Empresa,"América TV SA","Participa en",Empresa,"Primicias Ya SRL",40%
Empresa,"América TV SA","Participa en",Empresa,"Uno Multimedios SA",40%
Empresa,"América TV SA","Pertenece a",Empresa,"América Inversora SA",20%
Empresa,"América TV SA","Pertenece a",Empresa,"América Medios SA",64.7%
Empresa,"América TV SA","Pertenece a",Empresa,"Antranik Eurnekian",15.3%
Empresa,"Area Digital SA","Participa en",Medio,"Televisión Digital Abierta 36.1",100%
Empresa,"Area Digital SA","Pertenece a",Holding,"Grupo Olmos Holding",100%
Empresa,"ARTEAR &#8211; Arte Radiotelevisivo Argentino SA","Participa en",Medio,"AM Sports",100%
Empresa,"ARTEAR &#8211; Arte Radiotelevisivo Argentino SA","Participa en",Empresa,"Bariloche 2000 SA",99.9%
Empresa,"ARTEAR &#8211; Arte Radiotelevisivo Argentino SA","Participa en",Empresa,"Bariloche TV SA",99.9%
Empresa,"ARTEAR &#8211; Arte Radiotelevisivo Argentino SA","Participa en",Medio,"Canal (Á)",100%
Empresa,"ARTEAR &#8211; Arte Radiotelevisivo Argentino SA","Participa en",Empresa,"Carriersat SA",94%
Empresa,"ARTEAR &#8211; Arte Radiotelevisivo Argentino SA","Participa en",Medio,"Ciudad Magazine",100%
Empresa,"ARTEAR &#8211; Arte Radiotelevisivo Argentino SA","Participa en",Medio,"El Trece",100%
Empresa,"ARTEAR &#8211; Arte Radiotelevisivo Argentino SA","Participa en",Medio,"El Trece internacional",100%
Empresa,"ARTEAR &#8211; Arte Radiotelevisivo Argentino SA","Participa en",Medio,"El Trece Satelital",100%
Empresa,"ARTEAR &#8211; Arte Radiotelevisivo Argentino SA","Participa en",Empresa,"Estudios Baires SA",5%
Empresa,"ARTEAR &#8211; Arte Radiotelevisivo Argentino SA","Participa en",Empresa,"Patagonik Film Group SA",33.3%
Empresa,"ARTEAR &#8211; Arte Radiotelevisivo Argentino SA","Participa en",Empresa,"Pol-Ka Producciones SA",55%
Empresa,"ARTEAR &#8211; Arte Radiotelevisivo Argentino SA","Participa en",Medio,"Quiero Música en mi Idioma",100%
Empresa,"ARTEAR &#8211; Arte Radiotelevisivo Argentino SA","Participa en",Empresa,"Si Musica SA",95%
Empresa,"ARTEAR &#8211; Arte Radiotelevisivo Argentino SA","Participa en",Empresa,"Telecor SACI",85.2%
Empresa,"ARTEAR &#8211; Arte Radiotelevisivo Argentino SA","Participa en",Empresa,"Teledifusora Bahiense SA",99.9%
Empresa,"ARTEAR &#8211; Arte Radiotelevisivo Argentino SA","Participa en",Medio,"Tn Todo Noticias",100%
Empresa,"ARTEAR &#8211; Arte Radiotelevisivo Argentino SA","Participa en",Medio,Volver,100%
Empresa,"ARTEAR &#8211; Arte Radiotelevisivo Argentino SA","Pertenece a",Empresa,"AGEA - Arte Gráfico Editorial Argentino S.A.",2.25%
